Keys,en,en_CA,ar,cmn,cs,de,es,fi,fr,hi,it,ja,ko,pl,pt,ru,uk
TTS,Text-To-Speech,Text-To-Speech eh?,النص إلى الكلام,文字转语音,Text na řeč,Text zu Sprache,Texto a voz,Teksti puheeksi,Texte pour parler,भाषण के पाठ,Text-to-spealch,テキストからスピーチ,텍스트 음성,Tekst na mowę,Texto para fala,Текст в речь,Текстовий мовлення
TTSENABLED,Enable TTS,Enable TTS eh?,تمكين TTS,启用TT,Povolit TTS,TTS aktivieren,Habilitar TTS,Ottaa TTS: n käyttöön,Activer TTS,TTS सक्षम करें,Abilita TTS,TTSを有効にします,TTS 활성화,Włącz TTS,Ativar TTS,Включить TTS,Увімкнути TTS
TTSPITCH,Pitch,Pitch eh?,يقذف,沥青,Pitch,Tonhöhe,Paso,Piki,Pas,आवाज़ का उतार-चढ़ाव,Pece,ピッチ,정점,Poziom,Tom,Подача,Стовп
TTSRATE,Rate,Rate eh?,معدل,速度,Hodnotit,Rate,Tasa,Aste,Taux,दर,Valutare,レート,비율,Wskaźnik,Avaliar,Ставка,Оцінювати
TTSVOICELABEL,TTS Voices,TTS Voices eh?,أصوات TTS,TTS声音,Hlasy TTS,TTS -Stimmen,Voces TTS,TTS -äänet,Voix TTS,टीटीएस आवाजें,Voci TTS,TTS声,TTS 목소리,Głosy TTS,TTS Voices,TTS голоса,TTS -голоси
TTSVOLUME,Volume,Volume eh?,مقدار,体积,Hlasitost,Volumen,Volumen,Tilavuus,Volume,आयतन,Volume,音量,용량,Tom,Volume,Объем,Обсяг
UNDERCONSTRUCTION,Under construction,Under construction eh?,تحت التشيد,建设中,Ve výstavbě,Bauarbeiten im Gange,Bajo construcción,Rakenteilla,En cours de construction,निर्माणाधीन,In costruzione,工事中,건설 중,W budowie,Em construção,В разработке,У розробці
UNPAUSE,Unpause,Unpause eh?,إلغاء الرؤوس,脱离,Zpuštění,Unpause,Impaudir,Päätellä,Inhabituel,रोक हटाएँ,Impasto,unpause,불완전한,Unupauza,Não musa,Замайт,Неоднозначний
UPGRADE,Upgrade,Upgrade eh?,يرقي,升级,Vylepšit,Aktualisierung,Mejora,Päivittää,Mise à niveau,उन्नत करना,Aggiornamento,アップグレード,업그레이드,Aktualizacja,Atualizar,Обновление,Оновлення
USEFUEL,Use Fuel,Use Fuel eh?,استخدام الوقود,使用燃料,Použijte palivo,Kraftstoff verwenden,Usar combustible,Käyttää polttoainetta,Utiliser le carburant,ईंधन का उपयोग करें,Usa carburante,燃料を使用します,연료를 사용하십시오,Użyj paliwa,Use combustível,Используйте топливо,Використовуйте паливо
USEOXYGENGENERATOR,Use Oxygen Generator,Use Oxygen Generator eh?,استخدام مولد الأكسجين,使用氧气发生器,Použijte generátor kyslíku,Verwenden Sie den Sauerstoffgenerator,Use el generador de oxígeno,Käytä happigeneraattoria,Utiliser un générateur d'oxygène,ऑक्सीजन जनरेटर का उपयोग करें,Usa il generatore di ossigeno,酸素発電機を使用します,산소 생성기를 사용하십시오,Użyj generatora tlenu,Use gerador de oxigênio,Используйте генератор кислорода,Використовуйте кисневий генератор
VERBOSE,Verbose,Verbose eh?,مطول,冗长,Verbose,Ausführlich,Verboso,Verbose,Verbeux,वाचाल,Verboso,冗長,말 수가 많은,Gadatliwy,Detalhado,Подробный,Багатослівний
VERBOSITY,Verbosity,Verbosity eh?,فعل,冗长,Vřednost,Ausführlichkeit,Verbosidad,Verbositeetti,Verbosité,शब्दाडंबर,Verbosità,冗長性,다변,Gadatliwość,Verbosidade,Условно,Багатослівність
VOLUME,Volume,Volume eh?,مقدار,体积,Hlasitost,Volumen,Volumen,Tilavuus,Volume,आयतन,Volume,音量,용량,Tom,Volume,Объем,Обсяг
WANTTOTRADE,Want to trade?,Want to trade? eh?,تريد المتاجرة؟,想要交易？,Chtít obchodovat?,Willst du tauschen?,¿Queremos comercializar?,Haluta vaihtaa?,Vouloir échanger?,ट्रेड करना चाहता है?,Vuoi scambiare?,取引したいです？,거래하고 싶습니까?,Chcesz wymienić?,Quer trocar?,Хотеть торговать?,Хочете торгувати?
WARNING,Warning,Warning eh?,تحذير,警告,Varování,Warnung,Advertencia,Varoitus,Avertissement,चेतावनी,Avvertimento,警告,경고,Ostrzeżenie,Aviso,Предупреждение,УВАГА
WASTE,Waste,Waste eh?,يضيع,浪费,Odpad,Abfall,Desperdiciar,Jätteet,Déchets,बरबाद करना,Sciupare,無駄,쓰레기,Marnować,Desperdício,Напрасно тратить,Витрачати
WATER,Water,Water eh?,ماء,水,Voda,Wasser,Agua,Vettä,Eau,पानी,Acqua,水,물,Woda,Água,Вода,Вода
WATERGENERATOR,Water generator,Water generator eh?,مولد المياه,水发电机,Generátor vody,Wassergenerator,Generador de agua,Vesigeneraattori,Générateur d'eau,जल जनक,Generatore d'acqua,水ジェネレーター,수상 생성기,Generator wody,Gerador de água,Водный генератор,Водний генератор
WINNERDIALOG01,"Game over, you win!","Game over, you win! eh?",انتهت اللعبة ، تفوز!,游戏结束，你赢了！,"Hra u konce, vyhrajete!","Spiel vorbei, du gewinnst!","Juego terminado, ganas!","Peli ohi, voitat!","Jeu terminé, vous gagnez!","खेल, तुम जीतो!","Game Over, vinci!",ゲームオーバー、あなたは勝ちます！,"게임 오버, 당신은 승리합니다!","Gra, wygrywasz!","Jogo acabado, você ganha!","Игра окончена, вы выигрываете!","Гра, ви виграєте!"
WINNERTITLE,Welcome to your new home,Welcome to your new home eh?,مرحبا بكم في بيتكم الجديد,欢迎来到你的新家,Vítejte ve vašem novém domově,Willkommen in Ihrem neuen Zuhause,Bienvenido a tu nuevo hogar,Tervetuloa uuteen kotiin,Bienvenue dans votre nouvelle maison,आपके नए घर में आपका स्वागत है,Benvenuto nella tua nuova casa,あなたの新しい家へようこそ,새 집에 오신 것을 환영합니다,Witamy w swoim nowym domu,Bem -vindo ao seu novo lar,Добро пожаловать в твой новый дом,Ласкаво просимо до вашого нового будинку
WOLF1061C,Wolf 1061c,Wolf 1061c eh?,الذئب 1061C,狼1061c,Wolf 1061c,Wolf 1061c,Wolf 1061c,Susi 1061c,Loup 1061c,वुल्फ 1061 सी,Lupo 1061c,ウルフ1061c,늑대 1061C,Wolf 1061C,Wolf 1061C,Волк 1061c,Вовк 1061c
WORK,Work,Work eh?,عمل,工作,Práce,Arbeiten,Trabajar,Tehdä työtä,Travail,काम,Lavoro,仕事,일하다,Praca,Trabalhar,Работа,Працювати
WORKSTATIONS,Work stations,Work stations eh?,محطات العمل,工作站,Pracovní stanice,Arbeitsstationen,Estaciones de trabajo,Työasemat,Postes de travail,कार्य स्टेशन,Stazioni di lavoro,ワークステーション,워크 스테이션,Stacje robocze,Estações de trabalho,Рабочие станции,Робочі станції
